#"","INTLDES","NORAD_CAT_ID","OBJECT_TYPE","SATNAME","COUNTRY","LAUNCH","SITE","DECAY","PERIOD","INCLINATION","APOGEE","PERIGEE","COMMENT","COMMENTCODE","RCSVALUE","RCS_SIZE","FILE","LAUNCH_YEAR","LAUNCH_NUM","LAUNCH_PIECE","CURRENT","OBJECT_NAME","OBJECT_ID","OBJECT_NUMBER"
"30537","2017-022A",42689,"PAYLOAD","USA 276","US","2017-05-01","AFETR","",92.45,50.01,403,387,"",NA,0,"",6977,2017,22,"A","Y","USA 276","2017-022A",42689
"30538","2017-023B",42692,"PAYLOAD","SGDC","BRAZ","2017-05-04","FRGUI","",1436.09,0.04,35796,35777,"",NA,0,"LARGE",7015,2017,23,"B","Y","SGDC","2017-023B",42692
"30539","1998-024A",25311,"PAYLOAD","NILESAT","EGYP","1998-04-28","FRGUI","",1478.54,5.1,36712,36515,"",NA,0,"LARGE",7015,1998,24,"A","Y","NILESAT","1998-024A",25311
"30540","1998-024B",25312,"PAYLOAD","BSAT-1B","JPN","1998-04-28","FRGUI","",1452.79,6.4,36124,36102,"",NA,0,"LARGE",7015,1998,24,"B","Y","BSAT-1B","1998-024B",25312
"30542","1998-026B",25320,"PAYLOAD","IRIDIUM 71","US","1998-05-02","TSC","",100.06,86.4,762,760,"",NA,0,"LARGE",7008,1998,26,"B","Y","IRIDIUM 71","1998-026B",25320
"30543","2017-023A",42691,"PAYLOAD","KOREASAT 7","SKOR","2017-05-04","FRGUI","",1436.1,0.02,35794,35779,"",NA,0,"LARGE",7015,2017,23,"A","Y","KOREASAT 7","2017-023A",42691
"30544","1975-082A",8197,"PAYLOAD","KIKU 1 (ETS 1)","JPN","1975-09-09","TNSTA","",105.92,46.99,1101,974,"",NA,0,"LARGE",6992,1975,82,"A","Y","KIKU 1 (ETS 1)","1975-082A",8197
"30545","1998-025A",25315,"PAYLOAD","COSMOS 2350","CIS","1998-04-29","TTMTR","",1436.12,12.95,35812,35763,"",NA,0,"LARGE",7015,1998,25,"A","Y","COSMOS 2350","1998-025A",25315
"30546","1976-047A",8860,"PAYLOAD","P 76-5","US","1976-05-22","AFWTR","",105.29,99.74,1039,978,"",NA,0,"LARGE",7012,1976,47,"A","Y","P 76-5","1976-047A",8860
"30547","1985-110A",16291,"PAYLOAD","COSMOS 1704","CIS","1985-11-28","PKMTR","",104.76,82.94,1006,960,"",NA,0,"LARGE",7014,1985,110,"A","Y","COSMOS 1704","1985-110A",16291
"30548","1992-060A",22116,"PAYLOAD","HISPASAT 1A","SPN","1992-09-10","FRGUI","",1449.86,12.42,36074,36037,"",NA,0,"LARGE",7012,1992,60,"A","Y","HISPASAT 1A","1992-060A",22116
"30549","2018-111J",43884,"PAYLOAD","LEMUR 2 REMY-COLTON","US","2018-12-27","VOSTO","",96.22,97.72,585,570,"",NA,0,"MEDIUM",7014,2018,111,"J","Y","LEMUR 2 REMY-COLTON","2018-111J",43884
"30550","1985-087A",16101,"PAYLOAD","INTELSAT 512","ITSO","1985-09-28","AFETR","",1452.87,15.43,36145,36083,"",NA,0,"LARGE",7014,1985,87,"A","Y","INTELSAT 512","1985-087A",16101
"30551","2017-029B",42741,"PAYLOAD","EUTELSAT 172B","EUTE","2017-06-01","FRGUI","",1436.11,0.02,35788,35785,"",NA,0,"LARGE",7015,2017,29,"B","Y","EUTELSAT 172B","2017-029B",42741
"30552","1976-054B",8890,"PAYLOAD","COSMOS 826","CIS","1976-06-15","PKMTR","",116.27,74,1544,1482,"",NA,0,"MEDIUM",7005,1976,54,"B","Y","COSMOS 826","1976-054B",8890
"30553","2018-105A",43864,"PAYLOAD","GSAT 7A","IND","2018-12-19","SRI","",1436.11,0.07,35795,35778,"",NA,0,"LARGE",7014,2018,105,"A","Y","GSAT 7A","2018-105A",43864
"30554","2018-104G",43855,"PAYLOAD","CHOMPTT","US","2018-12-16","RLLC","",94.59,85.04,512,485,"",NA,0,"SMALL",7014,2018,104,"G","Y","CHOMPTT","2018-104G",43855
"30556","1997-059A",25004,"PAYLOAD","ECHOSTAR 3","US","1997-10-05","AFETR","",1456.44,3.77,36224,36144,"",NA,0,"LARGE",7015,1997,59,"A","Y","ECHOSTAR 3","1997-059A",25004
"30557","1976-054F",8894,"PAYLOAD","COSMOS 830","CIS","1976-06-15","PKMTR","",115.55,74,1492,1468,"",NA,0,"MEDIUM",7005,1976,54,"F","Y","COSMOS 830","1976-054F",8894
"30558","2019-005E",43946,"PAYLOAD","JILIN-01-10","PRC","2019-01-21","JSC","",95.25,97.51,544,517,"",NA,0,"MEDIUM",7012,2019,5,"E","Y","JILIN-01-10","2019-005E",43946
"30559","1997-062A",25010,"PAYLOAD","APSTAR 2R (TELSTAR 10)","PRC","1997-10-16","XSC","",1451.42,5.46,36123,36049,"",NA,0,"LARGE",7015,1997,62,"A","Y","APSTAR 2R (TELSTAR 10)","1997-062A",25010
"30560","2018-104D",43852,"PAYLOAD","STF-1","US","2018-12-16","RLLC","",94.7,85.03,514,493,"",NA,0,"SMALL",7014,2018,104,"D","Y","STF-1","2018-104D",43852
"30561","1997-069D",25042,"PAYLOAD","IRIDIUM 39","US","1997-11-09","AFWTR","",99.56,86.39,750,725,"",NA,0,"LARGE",7015,1997,69,"D","Y","IRIDIUM 39","1997-069D",25042
"30562","2018-104B",43850,"PAYLOAD","SHIELDS 1","US","2018-12-16","RLLC","",94.67,85.03,514,491,"",NA,0,"SMALL",7014,2018,104,"B","Y","SHIELDS 1","2018-104B",43850
"30563","1978-109D",11131,"PAYLOAD","COSMOS 1054","CIS","1978-12-05","PKMTR","",115.27,74.02,1489,1446,"",NA,0,"MEDIUM",6998,1978,109,"D","Y","COSMOS 1054","1978-109D",11131
