,OBJECT_TYPE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,LAUNCH_YEAR,SMA,e,n
46519,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46520,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46521,"""PAYLOAD""","""""",95.59,53.06,549.0,546.0,"""LARGE""","""2020""",6925500.0,0.00021659085986571366,0.0010955095210760514
46522,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46523,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46524,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46525,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46526,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46527,"""PAYLOAD""","""""",95.59,53.05,549.0,546.0,"""LARGE""","""2020""",6925500.0,0.00021659085986571366,0.0010955095210760514
46528,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46529,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46530,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46531,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46532,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46533,"""PAYLOAD""","""""",95.59,53.06,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46534,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
46535,"""PAYLOAD""","""""",95.59,53.05,548.0,546.0,"""LARGE""","""2020""",6925000.0,0.0001444043321299639,0.0010955095210760514
