INTLDES,NORAD_CAT_ID,OBJECT_TYPE,SATNAME,COUNTRY,LAUNCH,SITE,DECAY,PERIOD,INCLINATION,APOGEE,PERIGEE,COMMENT,COMMENTCODE,RCSVALUE,RCS_SIZE,FILE,LAUNCH_YEAR,LAUNCH_NUM,LAUNCH_PIECE,CURRENT,OBJECT_NAME,OBJECT_ID,OBJECT_NUMBER
"1982-092AUH","50890","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.72","82.54","548","462","","","0","SMALL","7962","1982","92","AUH","Y","COSMOS 1408 DEB","1982-092AUH","50890"
"1982-092AUJ","50891","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","92.83","82.53","428","398","","","0","SMALL","7965","1982","92","AUJ","Y","COSMOS 1408 DEB","1982-092AUJ","50891"
"1982-092AUK","50892","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.15","82.59","520","435","","","0","SMALL","7965","1982","92","AUK","Y","COSMOS 1408 DEB","1982-092AUK","50892"
"1982-092AUL","50893","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.68","82.52","472","437","","","0","SMALL","7965","1982","92","AUL","Y","COSMOS 1408 DEB","1982-092AUL","50893"
"1982-092AUM","50894","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.87","82.60","497","431","","","0","SMALL","7964","1982","92","AUM","Y","COSMOS 1408 DEB","1982-092AUM","50894"
"1982-092AUN","50895","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.36","82.57","515","459","","","0","SMALL","7965","1982","92","AUN","Y","COSMOS 1408 DEB","1982-092AUN","50895"
"1982-092AUP","50896","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.20","82.54","527","432","","","0","SMALL","7965","1982","92","AUP","Y","COSMOS 1408 DEB","1982-092AUP","50896"
"1982-092AUQ","50897","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.38","82.61","475","406","","","0","SMALL","7965","1982","92","AUQ","Y","COSMOS 1408 DEB","1982-092AUQ","50897"
"1982-092AUR","50898","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.92","82.62","500","433","","","0","SMALL","7965","1982","92","AUR","Y","COSMOS 1408 DEB","1982-092AUR","50898"
"1982-092AUS","50899","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.34","82.56","474","402","","","0","SMALL","7965","1982","92","AUS","Y","COSMOS 1408 DEB","1982-092AUS","50899"
"1982-092AUT","50900","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.80","82.54","481","441","","","0","SMALL","7965","1982","92","AUT","Y","COSMOS 1408 DEB","1982-092AUT","50900"
"1982-092AUU","50901","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.77","82.49","565","450","","","0","SMALL","7964","1982","92","AUU","Y","COSMOS 1408 DEB","1982-092AUU","50901"
"1982-092AUV","50902","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.69","82.60","474","436","","","0","SMALL","7965","1982","92","AUV","Y","COSMOS 1408 DEB","1982-092AUV","50902"
"1982-092AUW","50903","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.26","82.65","505","460","","","0","SMALL","7964","1982","92","AUW","Y","COSMOS 1408 DEB","1982-092AUW","50903"
"1982-092AUX","50904","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.81","82.64","572","447","","","0","SMALL","7965","1982","92","AUX","Y","COSMOS 1408 DEB","1982-092AUX","50904"
"1982-092AUY","50905","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","94.44","82.59","532","451","","","0","SMALL","7965","1982","92","AUY","Y","COSMOS 1408 DEB","1982-092AUY","50905"
"1982-092AUZ","50906","DEBRIS","COSMOS 1408 DEB","CIS","1982-09-16","PKMTR","","93.74","82.58","494","421","","","0","SMALL","7965","1982","92","AUZ","Y","COSMOS 1408 DEB","1982-092AUZ","50906"
